listing_id,id,date,reviewer_id,reviewer_name,comments
208345,557305,2011-09-22,1100017,István,"We came from Hungary, and wanted a cheap accomodation in the Bay area, and finally chose this one. 

The house is nice and clean, the host family is very kind and open-minded. Their hospitality is exemplary. If you need any help during your stay, feel free to ask them for any assistance!

If you want a warm place with a friendly, mindful family, I highly recommend you this accomodation.

"
208345,609510,2011-10-08,373641,Eran,"We had fun staying there, and with the other airbnb'ers there, it was even more fun. Angela and her husband were great hosts. Our kids had fun interacting with their kids as well. Would recommend!"
208345,805074,2011-12-25,687657,Amanda,"I did not personally stay there. I booked the accommodations for my parents so these comments are based on their feedback. 

1. angela was a great host, very nice lady. 

2. the kids were great. left chocolates and a welcome note. super cute. made my parents feel at home. 

overall, great place for a family-orientated environment. "
208345,861442,2012-01-14,617659,Margoth,"Angela's place was really great! She was very helpful and respectful person. They are a wonderful family, the kids are so lovely and disciplined, they are very well educated and you can share with them many histories they have for you. They are super kids and super cute!
We had a very good time in a beutiful and neat house with a wonderful view. The place was perfect for our needs and it was everything she offers. We highly recommend it and we are so grateful with the whole family. Thanks Angela!"
208345,890768,2012-01-30,1555652,Cullen,"Angela and her wonderful children, Samson and Isabella, were a joy to be around. Beautiful home and setting in the San Mateo area. Couldn't be more satisfied. 
"
208345,897904,2012-02-02,1503489,David,"Angela was such a wonderful host! She has all the answers for the questions you have regarding what to do with kids, where to eat and much more. My kids loved playing with Angela's adorable kids and othr guests. We had so much fun sharing lots of interesting conversation, cooking experience and even her homeschooling classes.

"
208345,1001175,2012-03-14,1792454,Meelika,"Angela was a wonderful hostess and her children were sweet and kind. The house, and the view from it, was absolutely beautiful. It is just walking distance away from a market place. Overall a great location, great family, great home. Totally recommended! We will definitely stay here again."
208345,1223120,2012-05-03,2164441,Ian,Great host and wonderful kids! We mostly did our own thing but Angela was around if we needed anything. 
208345,1286815,2012-05-15,2257901,Esther,"Excellent place to learn about America... also, you will truly enjoy the whole family...
I will be staying here again and again!"
208345,1430249,2012-06-06,3702156,Eva,"Angela is a very sweet host and her house is gorgeous and very clean. I like that she makes guests take off their shoes at the front door so as not to track dirt and other yucky things in the house. I stayed in the loft on a futon, and it was very spacious and comfy. The shared bathroom is extremely nice - much nicer than a 4-star hotel. I had to work very late and Angela was still up to let me in. Her son even made me a beautiful airplane envelope with some nice treats inside! A very pleasant experience. Thank you, Angela!"
208345,1483151,2012-06-14,1879996,Sugam,Angela is a great host and her home is clean and beautiful. 
208345,1500931,2012-06-17,2578616,Brian,"Angela was great.  Her kids are sweet and the home was very nice.  We enjoyed feeling like we were at home.  The only issue- and it really wasn't an issue- was the bathroom is in another bedroom occupied by other guests, requiring you to go into their room to use the bathroom.  I believe Angela is putting in a new bathroom for the loft guests and that will make a huge difference.  I would definitely recommend it though.  Very convenient access off the freeway.  Thanks Angela.  All the best.  "
208345,1677974,2012-07-10,2681459,Ran,Angela is a really good host. we enjoyed our stay very much.thanks for everything : ) 
208345,1950720,2012-08-11,291766,Michael,stayed in the loft this time around.  was as comfortable as the private room.
208345,1996956,2012-08-15,3162206,Naoaki,It's the great time to me. I stay in the loft but could keep my private. 
208345,2095088,2012-08-25,3231549,Michael,We are 4 German students that decided to go to San Francisco for a few days and we really enjoyed our time at Angela's house. She and her kids are very friendly and very open-minded. We did not have any problems at all. We would recommend her house to anybody who wants to visit San Francisco. Her house it not far away from public transportation so that you do not have to use a car. In addition Angela can give you some tips what you definitively have to do in San Francisco.
208345,2131497,2012-08-28,1757777,Nel,"Angela is a very gracious Hostess. She showed us how to get to get Cal-Train into SanFrancisco. 

The views from the loft are beautiful. When I come back thru I will see if she has the loft available again."
208345,2367147,2012-09-21,337833,Philipp,"Staying at Angela's was great. She was very accommodating and everything was perfect upon arrival although we booked very last minute. The kids are great, too - super well educated and fun to be around. the house itself is beautiful, large, well located and comes with everything you may need. would definitely stay there again. "
208345,2488238,2012-10-02,176890,Gary,We found Angela's home to be very warm and inviting. We did not spend a lot of time there because we were out sightseeing the fabulous Bay area which we could not get enough of. We would have liked to be able to talk to her more. She is a facinating person with clearly loved and adorable children.  We would definately stay there again if we were in the area. 
